Samples	1	2	3	4	5	6	7	8	9	10-11	12-13	14-15	16-17	18-19	20-21	22-23	24-25	26-27	28-29	30-31	32-33	34-35	36-37	38-39	40-41	42-43	44-45	46-47	48-49	50-51	52-53	54-55	56-57	58-59	60-61	62-63	64-65	66-67	68-69	70-71	72-73	74-75	76-77	78-79	80-81	82-83	84-85	86-87	88-89	90-91	92-93	94-95	96-97	98-99	100-101	102-103	104-105	106-107	108-109	110-111	112-113	114-115	116-117	118-119	120-121	122-123	124-125	126
NRO.2.60_R1	28.680302812616485	31.246890668728852	32.15980224752429	32.702871409909996	32.92266744704785	36.68106884855595	36.86875559878255	36.910932597444464	37.19999298186607	37.231266382542586	37.252590585239545	37.212586559743855	37.198142445607814	37.24030785772785	37.258258390477046	37.28668977795552	37.2987020424756	37.28931297103431	37.26907889640506	37.261527781548	37.2641112493404	37.255508738569866	37.24103335377914	37.23616370202208	37.22383616600681	37.22818566575166	37.217670446961286	37.19583844618994	37.17138986081967	37.13255220503882	37.09302702070328	37.053749205950005	37.02427828816384	36.99768792776294	36.94931885554356	36.937590909220425	36.92127613784166	36.90332910215263	36.88893614342455	36.86239300500679	36.847118464479315	36.81886500878301	36.81416403893827	36.79614785742126	36.77262440046914	36.766319517862655	36.73527516009764	36.696633103311136	36.658250951721456	36.62602599297358	36.61355252523105	36.576783712753475	36.55874824555067	36.4579352412626	36.44812304499521	36.45331329234777	36.40853826158954	36.394554851333794	36.39281762194544	36.33398281147299	36.35487778776452	36.3291780946286	36.32141659819586	36.30015586035362	36.24242791408165	36.16322016196543	36.18297049721736	33.96184933530281
NRO.2.60_R2	32.67528749520814	32.78781267938449	32.85423070989749	32.825194173889486	32.81420218714185	37.06194165282351	36.981807805091854	37.03902281092154	37.059454849894685	37.057250427543394	37.064777376184566	37.072366230063686	37.06593967185589	37.07115427778436	37.072181176437866	37.07747788129157	37.07696608718509	37.069126964001605	37.06988770323622	37.067723999303475	37.06324398012941	37.05510658625386	37.05520599935656	37.04705764539575	37.044826139347045	37.0415873554145	37.02290245205379	37.023748539448796	37.01418188914765	37.00210814808751	36.99402111223291	36.95501019822109	36.95525899928411	36.968949054177706	36.96037801780079	36.87679931202528	36.917605821055325	36.91964181152871	36.91675819117254	36.89412451289464	36.876061072249435	36.86336416930083	36.869561450728135	36.86366960870244	36.847300082956146	36.840141921107204	36.818212720291704	36.721653932645005	36.761034756514285	36.761482630796365	36.758683572092686	36.7241022722237	36.697648551302905	36.67245454998753	36.662109080765966	36.63123558257224	36.59007557658903	36.55791236170277	36.48242925398803	36.47594254849255	36.47835792657662	36.420049638344324	36.41312298323639	36.38268976500935	36.31878763190066	36.32434559275875	36.35149604069611	34.1167954389349
Myco330_R1	23.51876071269103	27.770089446468955	29.165202298817462	30.906275656444894	31.68608754519135	35.08848862834344	35.560063087847674	35.792148587725244	35.50761231221283	35.66684791219555	35.75800841171302	36.139070534518275	36.235837642415774	36.01540827055756	35.939263543002	35.980403877454016	35.699806991516276	35.57013481786625	35.507381854321814	35.44835942788829	35.21510723493742	35.191380874875776	34.9066257089576	34.959663091491464	34.612132393198884	34.23351671204787	34.44119937883716	34.76154346937342	34.693263323150894	35.003620882353694	35.197346726279264	35.203790408853976	35.22842925189239	35.31173891767288	35.323811895609786	35.293743460675024	35.368255949813026	35.37836817825628	35.38266410564742	35.37533019168383	35.36562595589014	35.24763746900909	35.123188811241626	35.093826399094056	35.123399382575606	35.12869838041468	35.0953112848167	35.04238244306349	34.997182276151406	34.97611423941606	34.934328081576446	34.877198553921424	34.91558352570217	34.70019262290941	34.72187582553137	34.69173261864573	34.60095941288047	34.567791029116236	34.57223110551051	34.48966102791863	34.550103893103326	34.53389180368617	34.510108154144696	34.5104612950705	34.429409782197396	34.22817715053368	34.4585005130171	33.545566234772664
Myco330_R2	31.265314647039336	31.3465150445792	31.46300430668184	31.07759229118355	31.06583893874141	34.788893370014556	34.995498869315966	35.054308842381204	35.234642142106104	35.08405591484581	35.16086320883806	35.25818485603584	35.19497097670935	35.17420095928097	35.18853616028346	35.20242845002665	35.28647716306336	35.1625664366889	35.10392570613738	35.21964077376237	35.218971005516586	35.154032292911985	35.11897913544651	35.15526170266541	35.14604647910005	35.177532003144485	35.07653943431241	35.106518509822216	35.08852019558023	35.065137675979	35.064545656988244	35.06450528151057	34.90994679979255	34.94774400821867	35.00401897371615	34.78687958298616	34.9101356092928	34.93349970410471	34.936075828504386	34.94698043787926	34.938989568749406	34.89829601681721	34.902884451279704	34.78985833735035	34.60032686672534	34.59475506542327	34.581819129578925	34.469202389424076	34.54600715067684	34.573050602102555	34.55999522529924	34.48117873524675	34.440821934139464	34.401492696746345	34.38463180770481	34.34787221141444	34.22289108292837	34.165272135000876	34.04059617476924	34.02919921077973	34.026600528794745	33.90990460650576	33.90015266868258	33.8106386527975	33.72143403642877	33.69594392599953	33.98624359780589	33.269506990586216
MD.blood.agar.control.1.111_R1	29.63021189336979	31.429938482570066	32.064935064935064	32.430622009569376	32.34791524265209	36.159945317840055	36.701298701298704	37.0170881749829	36.97470950102529	37.05331510594669	37.07997265892003	37.12645249487355	37.058441558441565	37.19617224880383	37.149350649350644	37.13328776486671	37.11995898838004	37.15892002734108	37.051264524948735	37.12474367737526	37.09911141490089	37.004784688995215	37.08723887864119	36.951917865406244	37.01286659746272	36.99720003317908	36.90530637300039	36.83275794356845	36.72723568519201	36.87437722419929	36.86757777322964	36.75163212555607	36.93227039066046	36.83576924813436	36.61061427113903	36.65841783531104	36.704519950002435	36.64362776276037	36.6753170744035	36.68493964626116	36.65784894004469	36.63234215693232	36.73589749349086	36.54774562798092	36.64763704029887	36.724905219603464	36.61131955959542	36.739371804488	36.65083558843091	36.49582136299816	36.379156106999346	36.405963413355295	36.34771470674919	36.315274689339425	36.33509344557724	36.178988206083176	36.350911596353605	36.43626099323717	36.17852264114975	36.356232393518404	36.22516447467602	36.32909344300599	36.20304194425085	36.14303481717604	36.09344262295082	36.10989346055888	36.18138538500782	34.09431818181818
MD.blood.agar.control.1.111_R2	32.22146274777854	32.32057416267943	32.28366370471634	32.215311004784695	32.27272727272727	36.15311004784689	36.00751879699248	36.13465481886534	36.2365003417635	36.331510594668494	36.227956254272044	36.246069719753926	36.268626110731375	36.301093643198904	36.20095693779904	36.28127136021872	36.15481886534518	36.27067669172932	36.18728639781271	36.28058783321941	36.232399179767604	36.202665755297325	36.12328345771028	36.152769542462394	36.176001243483675	36.105855228485716	36.22239510337237	36.243160606864826	36.16134703347024	36.25071530758226	36.229174364955675	36.17976134719116	36.21760961018603	36.31726514635807	36.18278426794501	36.11766681311578	36.2930226597469	36.14902418035521	36.23166052303138	36.22597488784476	36.22426725153619	36.31384255856351	36.17569188742016	36.235881927212574	36.279015707632816	36.402771926128786	36.290677179802906	36.192596569559505	36.3574550135074	36.352965107181966	36.21911370567759	36.253914919754436	36.21866708325712	36.289297546260144	36.203458090063336	36.25317454400874	36.123463062511846	36.119544600930155	36.309569510108965	36.03628220546626	36.18778969376717	36.053535337281154	35.997601279317706	36.10363891205438	35.9793986636971	35.923130269646826	36.06847655514406	34.127610208816705
s.109.Healthy.greaterthan5.Oral.Swab.3.1064.67_R1	26.95783649255832	30.32749337933559	31.748891778321852	31.918927639794692	32.345600519803924	35.67071391453077	36.67838014043232	36.619428112778046	37.04161444984354	37.22783464766599	37.250025909344494	37.238532450627076	37.26006476968614	37.291280935941074	37.31439060119234	37.336089034062894	37.3526864498906	37.32930776846675	37.3113182306968	37.31137960460502	37.30645903420254	37.297896087725725	37.28449669571687	37.28079820754847	37.28055005150409	37.27693100200915	37.264385268016646	37.25275258298013	37.22893702879242	37.202102064064796	37.16900838189069	37.13558248156262	37.109288353974684	37.08484607647836	37.0550192021182	37.04455495019218	37.03205417290339	37.02202064526168	37.0042384148924	36.97836035067749	36.97180350417729	36.94841070426113	36.947748934517605	36.932107410136275	36.91854923082204	36.907787968716335	36.882342095219336	36.856783965062725	36.81107110843486	36.78728322638761	36.774583604179114	36.74043716484506	36.729086432729204	36.61146679200974	36.62479977746	36.631492261131704	36.59195014408995	36.582808250105074	36.586167591766205	36.538373899166224	36.55505073470047	36.54094103971831	36.5335182907848	36.51410581089343	36.46219287570119	36.36718395993175	36.3944779132668	34.29278892802656
s.109.Healthy.greaterthan5.Oral.Swab.3.1064.67_R2	32.650922115407944	32.75474251256695	32.81588268542821	32.77475555176613	32.773360489756435	37.00317380282291	36.91345617425193	36.967757015184716	36.982744009061285	36.98175761642851	36.98212438984413	36.98139598813095	36.98113615966918	36.97253278726481	36.975844773258316	36.97482420234133	36.973392756996816	36.96264056278771	36.958838320545276	36.96079383291449	36.95522130255279	36.952398837791335	36.94460357145697	36.93776883204162	36.93694515124502	36.938918532710794	36.91423338822595	36.912660645513	36.90114608077019	36.88952278494771	36.88497349114323	36.84220221986917	36.838561507357696	36.84915027178362	36.843881780516895	36.757396602577245	36.80511648860863	36.805039894008864	36.80119728613935	36.77630425571074	36.76035606799078	36.7406039034324	36.751480960921356	36.74282759894899	36.72493807740639	36.7189412756055	36.69646239622961	36.59531686785269	36.63320800737563	36.637981470471615	36.63920250766607	36.60357630522317	36.575915581462134	36.55398074304875	36.54292919295611	36.503843904738936	36.46002322915109	36.43017946560856	36.35209285731847	36.356561688053866	36.35339916728609	36.295844589903055	36.29113403853953	36.257824522957506	36.19210473816477	36.19237453525818	36.230100415797246	34.04302757707453
NRH.2.128_R1	25.121060702249466	26.23135538781208	29.654689669333525	30.112107859851516	32.25947984032764	36.62661419607149	37.025700921375105	37.22867471559066	37.25936869509849	37.318095291021535	37.34325461488178	37.36332951546332	37.363170803843744	37.36976463584867	37.35486411082874	37.35316490749514	37.34811627674785	37.32523684294802	37.301506865572684	37.28996707087109	37.283028029319745	37.276777052089436	37.25951351643351	37.252025539455595	37.237193254792686	37.23511336109758	37.22010856337063	37.195915989525325	37.16732263446757	37.13276241299739	37.0960085970396	37.053153494915826	37.019922198896786	36.98869563738505	36.943469890665156	36.93457361174203	36.91405022535977	36.899013314785314	36.882975669107694	36.851234004963814	36.840389520892096	36.805682240895706	36.803257930418965	36.77779592530176	36.763491135416615	36.75039522770635	36.72510709147335	36.685922627227185	36.64136001908229	36.61045281626609	36.59917023048779	36.554314017461884	36.5446414741934	36.429736033951066	36.433601344270265	36.440077223107146	36.392585757447726	36.38872775539985	36.37683733731386	36.32565089099751	36.34925571423307	36.32525251525527	36.320685935809976	36.303747578888675	36.24136097027751	36.14941056004426	36.170504521606226	33.82819718214012
NRH.2.128_R2	32.66163907188082	32.73632960777037	32.79947328464293	32.762107765660645	32.76168861627957	36.99209267628293	36.881367538434596	36.94001360116194	36.96866646447026	36.96074877975725	36.954166250656975	36.95646215316565	36.952485885497815	36.96008285029113	36.96396539804121	36.96338424036004	36.958309236168546	36.957532161473296	36.9588965162564	36.95213502449904	36.94471749331716	36.936497926858905	36.93601168740499	36.93550209352329	36.93288569125872	36.9312560624369	36.90909012578909	36.9094461665901	36.89706529881719	36.88734236241737	36.880824903368456	36.83407679801385	36.837014359124616	36.847676040789416	36.83654323354706	36.75613356527772	36.80061272841015	36.80504042197279	36.79889607601603	36.776264789004884	36.7624071122366	36.747181750276845	36.759556859754056	36.753637484305756	36.73979933419655	36.731868865054615	36.71644763828917	36.60930442131948	36.65022106410254	36.66220416261125	36.661270581323976	36.62811499236437	36.59572240148663	36.58121606545721	36.56531592390832	36.54273910455893	36.49784557644346	36.47684471947772	36.39149510611817	36.4027882439923	36.401752293928695	36.345281825513	36.33981198491081	36.310884905105034	36.24477006676281	36.25085560187972	36.275585592574465	33.94778093387679
s.721944.118_R1	30.83619558697677	31.88073073716582	32.42281398153551	32.68148030068644	33.024583053837205	36.91520053616714	37.10131383056397	37.12007444438692	37.24637624667877	37.23910983223252	37.301789492729796	37.28785531399463	37.254904538861936	37.27463381401819	37.285531108573274	37.30315405438583	37.313771804333896	37.3018764686273	37.282351397752116	37.285157897615115	37.28813893105168	37.28556165194864	37.27532689664441	37.27222417827322	37.269743915895894	37.28029485058634	37.271617444971035	37.255288231550594	37.23126278429561	37.206124314603855	37.17670914315372	37.14703786999448	37.123333743467626	37.09759464523341	37.07366210975131	37.06628267941228	37.05886809911141	37.05152780669129	37.03941737635449	37.02497062387661	37.013785925442534	36.98852519126055	36.99218729877272	36.97823244062523	36.96848941717722	36.95545579854324	36.93304628475491	36.909011235024884	36.8707727780605	36.85298438921306	36.8382298399208	36.805797290948526	36.791039337971355	36.679583390844776	36.692902375409155	36.70329898709683	36.66392116690919	36.659398677686795	36.64964641053656	36.613760252828406	36.62556533109201	36.60420954881586	36.597149883446185	36.585255408815435	36.53968351637986	36.4505923311895	36.489668412273744	34.757930332165735
s.721944.118_R2	32.7093160785564	32.81274409247486	32.87799230539652	32.86305106794185	32.871410062558645	37.0941154842114	37.03056257406769	37.08088409399913	37.12731293346141	37.120760070441754	37.11479945801508	37.1074792290503	37.09460592355313	37.09048751299547	37.09659240650964	37.0970819731835	37.09699121572524	37.09482554496654	37.091609182094956	37.09832843378807	37.09570926662738	37.0927069982727	37.09319625082026	37.091170003428886	37.098379760765816	37.100254509185326	37.08212105640336	37.08735968668153	37.07885998087653	37.076419131616255	37.07149339817308	37.028595022046076	37.039452695814575	37.05451157482591	37.056590383184904	36.975276398365494	37.02684033857135	37.03060571035898	37.025240932465906	37.01401783208276	36.99964099486479	36.98663163366759	36.997158620635325	36.992922581334064	36.986261126162354	36.97431526087842	36.958582766849105	36.85913292696442	36.89753594266064	36.91718499611312	36.912625544736436	36.8832456474626	36.857430184233884	36.84089357882833	36.83705546904461	36.80879125453146	36.7601166588984	36.739706610492426	36.65578390094346	36.669794990651795	36.668899779688616	36.61882826142592	36.61640611984726	36.58557702840157	36.538940155780395	36.5266395076095	36.57382385222086	34.78968158901563
NRO.1.129_R1	28.27940039216405	29.616716450732103	30.473644987691426	31.72817900273049	32.24407142028136	36.5469882167531	36.769584684833276	37.21862840318373	37.35199716566793	37.355651865833465	37.35980440665335	37.389335214743404	37.38704331519117	37.39117020041904	37.38047426194359	37.38168984832658	37.38096232903908	37.35310951883548	37.33440231633345	37.326006218426826	37.32239855351329	37.31873285809404	37.30395589265866	37.29602549524056	37.2834090897661	37.28079258757929	37.261812362080605	37.23990303068595	37.217029357105496	37.177194068116115	37.14264444195536	37.104036388912284	37.075594369997475	37.05002085440728	37.00924726357239	36.99163252495947	36.97418857655697	36.966933214608005	36.943565965677145	36.91962015984976	36.90076029242609	36.87348868631749	36.874295452065965	36.852002060619114	36.83252948834897	36.82108618522543	36.7972864048009	36.76553804502801	36.72202993210303	36.69496228965503	36.68213238176132	36.639075456185175	36.62930034029984	36.517766166664465	36.52336969442985	36.53439298530611	36.49108730671231	36.47540392585477	36.47748767875093	36.42984983327004	36.44975903463881	36.43120641443912	36.41556967635368	36.397810683188894	36.332629069555594	36.241738855168315	36.26430530547084	33.908509945412284
NRO.1.129_R2	32.74083576145186	32.82256470401388	32.88325239604904	32.849206203766485	32.851309962310715	37.083518725527924	36.9943496612851	37.04383441147905	37.073847789037735	37.06230216178905	37.05619307665525	37.06156486894268	37.057080027121636	37.06494835284991	37.064692407777315	37.06251046076221	37.058222311813175	37.05910071041557	37.06205293603817	37.055481439400886	37.050160347450024	37.0422229959623	37.03716591180857	37.02816831865495	37.03441414549872	37.03081689469225	37.00497372907761	37.00509714042971	36.99615176795623	36.984497161661345	36.97712175416575	36.927124595374714	36.931446760756224	36.94288436489696	36.93937556110449	36.857321174100925	36.897595636065546	36.90099299331785	36.899740263974174	36.875187203195956	36.85699020370068	36.84334685806322	36.85472565920496	36.85042272847774	36.83430964560515	36.83185741434732	36.81051654225179	36.706985200593145	36.749772507841	36.75793099713982	36.75573676377481	36.72239737447185	36.70171536419721	36.68334357174501	36.66411679631042	36.639052333882674	36.596426410214185	36.56892072320096	36.485297959500585	36.48421161098032	36.48791820266681	36.43979190667599	36.436328593310535	36.39809485264432	36.339076617662656	36.33971498189617	36.3688090479564	33.977624362778286
